Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,..,119.8990371,192.1535283,203.6510409,224.9147122,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,666.7950511,633.569247
Albania,ALB,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.485437,4411.258241,4564.390339
Algeria,DZA,1757.011974,1732.958517,1774.292021,2094.893302,2600.00652,3102.037384,3467.54474,3939.559939,4912.251941,3875.822095,4473.486446,5447.403976,5583.61616,5491.614414,5484.066806
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52255,..
Angola,AGO,606.2722922,574.1941611,948.8443996,1067.178916,1361.744225,2063.922202,2825.07349,3402.14598,4462.125351,3565.181589,3928.824514,5053.738649,5531.776299,5900.52957,..
Antigua and Barbuda,ATG,10094.75906,9797.968713,10027.85622,10382.6309,10993.36925,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13432.07933
Argentina,ARG,7669.273709,7170.689698,2579.201638,3330.409821,4696.070111,5640.848503,6639.909435,8239.137161,9999.093517,9231.3829,11198.64257,13392.9169,14357.41159,14443.06565,12509.53112
Armenia,ARM,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3873.533566
Aruba,ABW,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,..,..,..
