Country Code,Country,Unique IPv4 Addresses,Average Connection Speed(Mbps),Average Peak Connection Speed (Mbps),Pct Above 4Mbps, Pct Above 10 Mbps, Pct Above 15 Mbps
ARG,Argentina,8204008,5.3,29.8,53,8.6,1.7
BOL,Bolivia,280442,2.4,14.8,7.8,0.6,0.2
BRA,Brazil,48342314,4.5,33.2,44,3.8,1.1
CAN,Canada,15146853,14.3,59.6,90,53,32
CHL,Chile,4662709,7.3,48.6,84,16,4.4
COL,Colombia,9955427,4.6,23.8,55,2.3,0.6
CRI,Costa Rica,517939,3.8,18.6,32,1.5,0.6
ECU,Ecuador,734445,5.3,31.6,58,5.7,1.2
MEX,Mexico,14714443,7.1,32.1,78,15,4
PAN,Panama,540048,4.5,19.1,48,3.2,0.8
PRY,Paraguay,216137,2.2,12.5,8.2,0.5,0.2
PER,Peru,1009080,5.2,31.3,64,4.4,1.4
USA,United States of America,140060201,15.3,67.8,86,57
URY,Uruguay,1055628,7.1,70.8,78,17,4.1
VEN,Venezuela,2773058,1.9,12.1,4.3,0.3,0.2
AUS,Australia,10043175,8.8,43.8,78,23,10
CHN,China,126496759,4.3,31,44,2.1,0.4
HKG,Hong Kong,3148573,19.9,110.3,94,66,48
IND,India,17016708,3.5,25.5,23,4.8,2
IDN,Indonesia,3498473,4.5,110.2,46,3,0.8
JPN,Japan,45782047,18.2,84.6,92,65,44
MYS,Malaysia,2020893,6.4,46.3,68,11,3.1
NZL,New Zealand,2111251,10.5,49.8,91,33,15
PHL,Philippines,1501611,3.5,29.9,18,2.7,1
SGP,Singapore,1865253,16.5,146.9,91,65,43
KOR,South Korea,24506931,29,103.6,97,84,69
LKA,Sri Lanka,185236,5.4,35.4,71,4.5,1.6
TW,Taiwan,10478777,14.8,83.1,93,57,33
THA,Thailand,3589101,10.8,69.6,96,39,15
VNM,Vietnam,6733865,5,34.1,55,4.9,0.8
AUS,Austria,3117696,13.4,51.1,94,42,22
BEL,Belgium,4892229,15.3,69.2,94,66,38
BGR,Bulgaria,1712590,15.8,59,97,66,40
HRV,Croatia,1626895,7.4,35.5,84,13,4.7
CYP,Cyprus,369659,7.2,28.4,82,12,3.6
CZE,Czech Republic,1888596,17.8,63.8,91,56,35
DNK,Denmark,3081807,17.2,58.6,96,63,41
EST,Estonia,572595,11.7,50,88,40,21
FIN,Finland,2729566,17.7,59.7,93,61,37
FRA,France,30393326,9.9,41,81,28,14
DEU,Germany,36339015,13.9,53.9,91,47,26
GRC,Greece,3411536,7.8,31.7,88,16,4.3
HUN,Hungary,2865607,13.8,63,95,53,29
IRL,Ireland,2139757,14.4,60.6,83,48,30
ITA,Italy,16692967,8.2,36.5,83,18,7
LVA,Latvia,760201,18.3,75.1,95,61,43
LTU,Lithuania,1285777,15.1,50.2,89,48,33
LUX,Luxembourg,187738,10.6,60.7,89,30,14
MLT,Malta,177107,12.7,50,97,57,26
NLD,Netherlands,9402341,17.9,70.5,95,67,42
NOR,Norway,3380456,21.3,69.6,91,65,50
POL,Poland,7840918,12.8,53.1,91,45,24
PRT,Portugal,3623086,13.1,51.4,89,48,30
ROM,Romania,3512287,16.1,82.4,95,64,41
RUS,Russia,19473367,12.2,63.8,92,50,24
SVK,Slovakia,1035187,13.8,55.8,90,37,22
SVN,Slovenia,1146701,14.5,47.8,89,42,24
ESP,Spain,15805029,13.3,64.7,90,47,28
SWE,Sweden,6007814,20.6,79.5,94,63,46
CHE,Switzerland,3700442,18.7,76.2,96,68,44
GBR,United Kingdom,31095823,14.9,61,91,53,36
EGY,Egypt Arab Rep.,8675972,2.4,16,9.7,1.6,0.7
IRN,Iran Islamic Rep.,8907921,3.5,17.8,36,0.3,0.1
ISR,Israel,2572159,13.5,65.8,96,51,24
KEN,Kenya,2465180,7.3,24.2,63,18,8.9
KWT,Kuwait,627435,6.6,47.8,54,7.8,5.3
MAR,Morocco,4390880,4.3,22.8,43,1.4,0.2
NAM,Namibia,228791,2.3,13.3,10,0.6,0.1
NGA,Nigeria,251858,3.3,23.3,29,1.4,0.5
QAT,Qatar,337551,8.4,89.2,79,26,9.6
SAU,Saudi Arabia,4309995,4.7,33.4,51,3,0.5
ZAF,South Africa,5833046,6.5,30.1,42,13,7.7
TUR,Turkey,8662910,7.2,40.7,87,13,4.2
ARE,United Arab Emirates,1493054,8.8,60.6,90,26,5.7
