Region,Unique IPv4 Addresses,Average Connection Speed(Mbps),Average Peak Connection Speed (Mbps),Pct Above 4Mbps, Pct Above 10 Mbps, Pct Above 15 Mbps
Argentina,8199701,4.7,28.5,46,4.4,0.7
Bolivia,279921,2.0,13.2,3.3,0.3,0.1
Brazil,47913625,4.1,30.3,39.,2.9,0.8
Canada,14924241,13.1,54.9,88,49,27
Chile,4750333,6.1,44.7,67,10,2.7
Colombia,10881807,4.5,23.6,51,2.2,0.5
Costa Rica,504725,3.4,15.7,23,1.2,0.5
Ecuador,912935,4.4,24.6,42,3.3,0.8
Mexico,14091960,5.9,29.9,68,8.2,2.2
Panama,515609,3.8,17.3,37,1.9,0.5
Paraguay,212884,1.6,13.4,2.3,0.2,0.1
Peru,1043910,4.5,31.5,47,2.9,0.9
United States of America,143153801,14.2,61.5,83,53,32
Uruguay,1046855,6.2,57.2,72,8.8,2.1
Venezuela,2890917,1.6,11.3,2.7,0.2,0.1
Australia,9670949,8.2,39.3,73,20,8.2
China,127187349,4.1,26.7,41,1.6,0.3
Hong Kong,3182013,16.8,105.2,93,61,38
India,17568808,2.8,21.2,17,2.8,1.0
Indonesia,3806115,3.9,79.8,36,1.7,0.5
Japan,46336973,17.4,82.9,91,63,40
Malaysia,2075107,5.2,42.0,56,5.4,1.2
New Zealand,2109371,9.3,42.8,87,26,11
Philippines,1441202,3.2,27.0,14,1.9,0.8
Singapore,1811430,13.9,135.7,91,59,32
South Korea,24298862,26.7,95.3,97,81,63
Sri Lanka,166266,4.8,34.8,52,3.6,1.3
Taiwan,10602019,12.9,78.8,90,45,24
Thailand,3519771,9.3,63.7,95,26.,8.2
Vietnam,6553822,3.8,31.4,40,1.0,0.2
Austria,3096358,12.3,47.6,92,38,19
Belgium,4837693,14.2,64.1,93,61,32
Czech Republic,1878822,15.9,54.6,88,51,30
Denmark,2941399,16.1,54.2,94,60,38
Finland,2669474,16.6,55.4,91,57,34
France,29641699,8.9,43.2,78,24,11
Germany,36674664,12.9,51.3,89,43,23
Hungary,2832221,12.6,58.5,92,48,25
Ireland,2100071,12.8,54.9,79,41,25
Israel,2451291,11.6,61.7,94,39,16
Italy,16720285,7.4,32.0,78,14,5.2
Netherlands,9340138,17.0,65.3,96,64,39
Norway,3461397,18.8,59.8,90,62,45
Poland,7759994,11.0,48.7,86,36,19
Portugal,3716626,12.1,48.9,86,43,26
Romania,3429228,13.2,73.6,91,53,28
Russia,19443307,11.6,60.1,90,46,21
Slovakia,993680,12.5,50.9,85,33,20
South Africa,5682767,4.1,21.5,27,3.8,1.9
Spain,15400898,12.1,60.0,88,42,24
Sweden,6256566,19.1,71.8,93,60,42
Switzerland,3734509,16.7,66.3,94,62,38
Turkey,9123323,6.3,38.2,77,8.4,3.0
United Arab Emirates,1411778,6.9,52.4,86,11,2.7
United Kingdom, 31632529,13.9,56.8,89,50,32
