num,Country,Users,Penetration_percent,Population,Non-Users,Change_from_prev_yr_percent,Change_from_prev_yr_num,Population_Change_percent
100,Afghanistan,2020998,6.40,31627506,29606508,11.60,210730,3.08
107,Albania,1736695,60.10,2889676,1152981,5.30,87459,0.22
49,Algeria,7043221,18.10,38934334,31891113,11.80,742509,1.96
176,Andorra,69802,95.90,72786,2984,-2.20,-1546,-4.11
64,Angola,5150772,21.30,24227524,19076752,15,672165,3.32
180,Antigua and Barbuda,58176,64,90900,32724,2,1126,1.02
22,Argentina,27808077,64.70,42980026,15171949,9.10,2327633,1.04
116,Armenia,1391849,46.30,3006154,1614305,11,138121,0.47
175,Aruba,86663,83.80,103441,16778,6.70,5458,0.51
29,Australia,19975062,84.60,23622353,3647291,3.40,660576,1.51
51,Austria,6898702,81,8516916,1618214,0.80,56615,0.35
56,Azerbaijan,5874165,61,9629779,3755614,5.40,299135,1.39
152,Bahamas,294645,76.90,383054,88409,8.30,22600,1.38
118,Bahrain,1239356,91,1361930,122574,2,24871,0.93
36,Bangladesh,15271441,9.60,159077513,143806072,46.60,4851906,1.22
158,Barbados,217267,76.70,283380,66113,5.40,11040,0.31
58,Belarus,5607149,59,9500422,3893273,9,462465,0.03
42,Belgium,9542374,85,11226322,1683948,4.10,377831,0.66
170,Belize,136110,38.70,351706,215596,17.70,20461,2.18
135,Benin,561720,5.30,10598482,10036762,11.10,55930,2.68
178,Bermuda,60380,96.80,62376,1996,0.90,557,-0.63
155,Bhutan,262933,34.40,765008,502075,16.50,37297,1.37
74,Bolivia,4121248,39,10561887,6440639,7.30,279514,1.56
96,Bosnia and Herzegovina,2321073,60.80,3817554,1496481,5,111453,-0.16
139,Botswana,410688,18.50,2219937,1809249,25.80,84212,2
4,Brazil,118700869,57.60,206077898,87377029,13.90,14446883,0.89
153,Brunei,287042,68.80,417394,130352,8.10,21625,1.43
75,Bulgaria,3996006,55.50,7201308,3205302,3.80,147700,-0.71
109,Burkina Faso,1653385,9.40,17589198,15935813,6.30,98690,2.95
169,Burundi,149273,1.40,10816860,10667587,9.70,13215,3.35
161,Cabo Verde,206899,40.30,513906,307007,8.80,16677,1.31
117,Cambodia,1379532,9,15328136,13948604,34.50,354190,1.66
93,Cameroon,2505032,11,22773014,20267982,76.20,1083517,2.53
19,Canada,31004085,87.10,35587793,4583708,2.60,776220,1.01
190,Cayman Islands,43846,74.10,59172,15326,1.40,595,1.38
162,Central African Republic,193614,4,4804316,4610702,17.40,28740,1.99
147,Chad,339676,2.50,13587053,13247377,12.30,37323,3.36
37,Chile,12851275,72.40,17762647,4911372,10,1163346,1.06
1,China,675131785,49.30,1369435670,694303885,8.20,51100254,0.51
26,Colombia,25123935,52.60,47791393,22667458,2.60,647934,0.95
181,Comoros,53745,7,769991,716246,10,4885,2.43
149,Congo,320303,7.10,4504962,4184659,10.40,30277,2.52
95,Costa Rica,2350733,49.40,4757606,2406873,8.70,187657,1.09
86,Croatia,2918238,68.60,4255853,1337615,2.40,67117,-0.37
80,Cuba,3413733,30,11379111,7965378,7.60,240186,0.15
131,Cyprus,799831,69.30,1153658,353827,7,52565,1.05
45,Czech Republic,8403559,79.70,10542666,2139107,7.50,588385,-0.03
82,Côte d'Ivoire,3234938,14.60,22157107,18922169,78.10,1418648,2.47
59,Denmark,5420458,96,5646899,226441,1.80,98207,0.40
173,Djibouti,93838,10.70,876174,782336,14.30,11706,1.34
189,Dominica,45474,62.90,72341,26867,7,2991,0.47
63,Dominican Republic,5159267,49.60,10405943,5246676,9.30,440100,1.21
97,DR Congo,2246311,3,74877030,72630719,40.70,650148,3.20
52,Ecuador,6838254,43,15902916,9064662,8.20,518337,1.54
21,Egypt,28396755,31.70,89579670,61182915,10.20,2638266,2.24
105,El Salvador,1813989,29.70,6107706,4293717,28.90,406715,0.30
168,Equatorial Guinea,154819,18.90,820885,666066,18.40,24097,2.99
185,Eritrea,50593,1,5110444,5059851,12.50,5604,2.23
125,Estonia,1108769,84.20,1316203,207434,5.80,60650,-0.29
89,Ethiopia,2811803,2.90,96958732,94146929,56.50,1015194,2.54
187,Faeroe Islands,45646,94.70,48221,2575,5,2183,-0.15
144,Fiji,370536,41.80,886450,515914,13.40,43875,0.68
67,Finland,5062110,92.40,5479660,417550,1.40,71774,0.49
11,France,53701546,83.80,64121249,10419703,2.70,1400236,0.43
166,French Polynesia,169771,60.70,279781,110010,8,12568,1.09
167,Gabon,165561,9.80,1687673,1522112,9,13728,2.26
151,Gambia,300028,15.60,1928201,1628173,14.80,38665,3.28
102,Georgia,1973004,48.90,4034774,2061770,11.60,205184,-1.17
8,Germany,69509013,86.20,80646262,11137249,2.50,1696728,0.10
66,Ghana,5062667,18.90,26786598,21723931,57.30,1844442,2.38
50,Greece,6953591,63.20,11000777,4047186,5.10,335273,-0.49
194,Greenland,37493,66.70,56211,18718,1.30,470,-0.10
193,Grenada,39753,37.40,106349,66596,7.30,2688,0.42
172,Guam,116057,69.30,167543,51486,7.50,8068,1.47
78,Guatemala,3747626,23.40,16015494,12267868,21.20,656539,2.07
160,Guinea,211139,1.70,12275527,12064388,10.40,19959,2.74
179,Guinea-Bissau,59777,3.30,1800513,1740736,9.70,5306,2.47
154,Guyana,285314,37.40,763893,478579,7.10,18952,0.38
119,Haiti,1205211,11.40,10572029,9366818,9,99499,1.35
111,Honduras,1519089,19.10,7961680,6442591,8.70,121956,1.43
60,Hong Kong,5388354,74.60,7226869,1838515,1.40,72717,0.88
47,Hungary,7528907,76.10,9889540,2360633,4.40,319358,-0.35
148,Iceland,321295,98.20,327318,6023,2.30,7140,0.59
3,India,233152478,18,1295291543,1062139065,20.70,39948148,1.23
13,Indonesia,43613549,17.10,254454778,210841229,16.20,6074069,1.27
20,Iran,30749524,39.40,78143644,47394120,33.10,7642367,1.28
76,Iraq,3985882,11.30,35273293,31287411,27,848004,3.42
79,Ireland,3725638,79.70,4675164,949526,1.90,70482,0.08
57,Israel,5672761,71.50,7939483,2266722,2.50,137745,1.56
17,Italy,37045058,62,59788667,22743609,6,2103295,0.03
122,Jamaica,1127237,40.50,2783301,1656064,9.60,98374,0.36
5,Japan,114850516,90.60,126794564,11944048,0.80,932305,-0.15
81,Jordan,3263077,44,7416083,4153006,10.30,304995,2.79
43,Kazakhstan,9535283,54.90,17371621,7836338,3.30,301528,1.59
32,Kenya,19470795,43.40,44863583,25392788,14.30,2430571,2.68
199,Kiribati,13533,12.30,110470,96937,8.40,1050,1.77
85,Kuwait,2953706,78.70,3753121,799415,8.90,241909,4.44
108,Kyrgyzstan,1653744,28.30,5843617,4189873,25.10,332233,1.70
128,Laos,953894,14.30,6689300,5735406,16,131396,1.66
112,Latvia,1508527,75.80,1989354,480827,-0.30,-5081,-1.12
73,Lebanon,4192236,74.70,5612096,1419860,12.50,464908,6.15
157,Lesotho,232012,11,2109197,1877185,122.80,127859,1.25
156,Liberia,237854,5.40,4396554,4158700,73.10,100455,2.40
124,Libya,1111596,17.80,6258984,5147388,7.50,77708,-0.11
196,Liechtenstein,35500,95.20,37286,1786,2.20,756,0.66
98,Lithuania,2103886,72.10,2916798,812912,3.70,75073,-1.59
136,Luxembourg,526908,94.70,556573,29665,3.10,15934,2.15
141,Macao,403268,69.80,577914,174646,7.90,29488,1.74
130,Madagascar,872153,3.70,23571713,22699560,26.80,184417,2.82
127,Malawi,973333,5.80,16695253,15721920,19,155732,3.12
28,Malaysia,20183848,67.50,29901997,9718149,2.30,450888,1.48
164,Maldives,176134,49.30,357415,181281,13.80,21294,1.80
121,Mali,1196022,7,17086022,15890000,106,615298,2.98
150,Malta,305648,73.20,417723,112075,6.40,18452,0.23
201,Marshall Islands,8887,16.80,52898,44011,20.30,1497,0.21
138,Mauritania,424750,10.70,3969625,3544875,76.90,184643,2.50
137,Mauritius,525694,41.40,1268567,742873,6.70,32906,0.40
10,Mexico,55658771,44.40,125385833,69727062,3.50,1881320,1.33
198,Micronesia,30849,29.70,104044,73195,7,2015,0.31
103,Moldova,1897710,46.60,4072340,2174630,3.50,64539,-0.03
197,Monaco,34764,92.40,37623,2859,2.10,726,0.25
132,Mongolia,785665,27,2909871,2124206,37.40,213830,1.77
142,Montenegro,381428,61,625292,243864,1.20,4703,0.10
33,Morocco,19267243,56.80,33921203,14653960,2.80,533739,1.40
110,Mozambique,1616647,5.90,27216276,25599629,13.10,187419,2.83
123,Myanmar,1122180,2.10,53437159,52314979,32.40,274439,0.86
145,Namibia,356584,14.80,2402858,2046274,9.30,30408,2.40
71,Nepal,4350177,15.40,28174724,23824547,17.50,648125,1.22
35,Netherlands,15715934,93.20,16868020,1152086,-0.50,-77345,0.35
163,New Caledonia,181860,70,259800,77940,7.40,12588,1.30
77,New Zealand,3843637,85.50,4495482,651845,4,147282,0.68
126,Nicaragua,1058449,17.60,6013913,4955464,14.90,136874,1.15
143,Niger,372718,2,19113728,18741010,19.40,60617,4.11
7,Nigeria,75746751,42.70,177475986,101729235,15.30,10076474,2.70
68,Norway,4957495,96.30,5147970,190475,2.60,125503,1.27
84,Oman,2974559,70.20,4236057,1261498,14.60,378416,8.42
25,Pakistan,25536111,13.80,185044286,159508175,29.30,5786113,2.13
106,Panama,1737297,44.90,3867535,2130238,3.70,61654,1.63
133,Papua New Guinea,700084,9.40,7463577,6763493,47.40,225007,2.12
88,Paraguay,2817583,43,6552518,3734935,18.10,431751,1.34
39,Peru,12451205,40.20,30973148,18521943,3.90,469545,1.33
16,Philippines,39348146,39.70,99138690,59790544,9,3246626,1.61
24,Poland,25720903,66.60,38619974,12899071,6,1449360,0
53,Portugal,6718873,64.60,10402343,3683470,3.40,223850,-0.55
87,Puerto Rico,2904238,78.80,3686517,782279,6.50,176891,-0.11
101,Qatar,1987222,91.50,2172065,184843,10.90,194824,3.37
40,Romania,10627560,54.10,19651554,9023994,7.90,777094,-0.72
6,Russia,101146438,70.50,143429435,42282997,3.80,3699656,0.04
120,Rwanda,1202204,10.60,11341544,10139340,20.60,205175,2.38
195,Saint Kitts and Nevis,35933,65.40,54944,19011,2.40,855,1.18
174,Saint Lucia,93659,51,183645,89986,11.20,9434,0.74
192,Samoa,40671,21.20,191845,151174,39.60,11541,0.76
188,Sao Tome and Principe,45486,24.40,186342,140856,8.40,3537,2.17
30,Saudi Arabia,19674729,63.70,30886545,11211816,7.70,1403093,2.27
91,Senegal,2597043,17.70,14672557,12075514,39.40,734086,3.17
69,Serbia,4757656,53.50,8892815,4135159,3.40,154789,-0.50
183,Seychelles,52018,54.30,95868,43850,8.40,4030,0.69
171,Sierra Leone,132628,2.10,6315627,6182999,26.30,27588,2.21
70,Singapore,4515401,82,5506586,991185,3.10,137343,1.88
72,Slovakia,4337204,80,5422861,1085657,2.80,116522,0.07
113,Slovenia,1479098,71.60,2066068,586970,-1.40,-21522,0.06
184,Solomon Islands,51495,9,572171,520676,14.80,6641,2.05
165,Somalia,171436,1.60,10517569,10346133,11.30,17414,2.43
23,South Africa,26444836,49,53969054,27524218,6.50,1606113,1.03
14,South Korea,42227742,84.30,50074401,7846659,-0.10,-27353,0.46
104,South Sudan,1893878,15.90,11911184,10017306,17.30,278891,3.99
18,Spain,35245278,76.20,46259716,11014438,5.90,1967122,-0.42
61,Sri Lanka,5319700,25.80,20618991,15299291,18.40,825391,0.47
177,St. Vincent & Grenadines,61767,56.50,109360,47593,8.60,4916,0.03
94,State of Palestine,2437723,53.70,4542059,2104336,18.40,378776,2.80
41,Sudan,9695908,24.60,39350274,29654366,10.90,952981,2.17
159,Suriname,215730,40.10,538248,322518,8.10,16219,0.90
146,Swaziland,343929,27.10,1269112,925183,11.30,35021,1.48
44,Sweden,8977444,92.50,9703247,725803,-1.60,-144764,0.82
48,Switzerland,7143903,87,8211383,1067480,1.90,134201,1.14
62,Syria,5273190,28.10,18772481,13499291,4.20,210671,-2.85
114,Tajikistan,1450942,17.50,8295840,6844898,11.80,153039,2.27
92,Tanzania,2518579,4.90,51822621,49304042,14,309187,3.20
115,TFYR Macedonia,1412670,68.10,2075625,662955,4.50,60543,0.15
27,Thailand,23629594,34.90,67725979,44096385,21.10,4109153,0.41
200,Timor-Leste,13194,1.10,1157360,1144166,6.20,771,2.48
140,Togo,405564,5.70,7115163,6709599,30.10,93772,2.69
191,Tonga,42234,40,105586,63352,14.80,5436,0.43
129,Trinidad and Tobago,881768,65.10,1354483,472715,2.50,21591,0.46
65,Tunisia,5137679,46.20,11130154,5992475,6.60,317180,1.13
15,Turkey,39568141,51,77523788,37955647,12.20,4314708,1.71
134,Turkmenistan,647477,12.20,5307188,4659711,28.70,144428,1.28
9,United Kingdom,58933948,91.60,64331348,5397400,2.60,1473566,0.59
2,United States of America,279070327,87.40,319448634,40378307,4.50,12041883,0.73
54,Uganda,6691364,17.70,37782971,31091607,12.90,766475,3.31
31,Ukraine,19531084,43.40,45002497,25471413,5.50,1013347,-0.36
46,United Arab Emirates,8213870,90.40,9086139,872269,3.30,258689,0.51
182,United States Virgin Islands,53178,50.10,106208,53030,10.60,5085,0.04
99,Uruguay,2101635,61.50,3419516,1317881,6.90,135577,0.34
38,Uzbekistan,12834147,43.60,29469913,16635766,15.70,1743403,1.50
186,Vanuatu,48670,18.80,258883,210213,70.10,20062,2.26
34,Venezuela,17495481,57,30693827,13198346,5.30,873933,1.38
12,Vietnam,44649715,48.30,92423338,47773623,11.30,4534442,1.14
55,Yemen,5904419,22.60,26183676,20279257,15.60,797776,2.55
90,Zambia,2726081,17.30,15721343,12995262,16.10,378184,3.12
83,Zimbabwe,3032401,19.90,15245855,12213454,10,276254,2.33
